Stringlen,Sonar1,Sonar2,Infared1,Infared2,Infared3
24,155, 73, 1278, 852, 1278
22,96, 74, 1278, 639, 159
20,78, 75, 1278, 0, 511
19,88, 73, 0, 852, 639
22,86, 75, 852, 1278, 319
22,66, 64, 1278, 639, 852
23,70, 71, 1278, 639, 1278
21,72, 69, 511, 852, 852
19,75, 70, 852, 0, 511
21,73, 66, 639, 852, 639
19,67, 64, 0, 232, 639
21,61, 57, 852, 255, 365
22,58, 54, 255, 1278, 134
19,53, 49, 639, 852, 0
22,48, 45, 511, 1278, 170
19,43, 41, 67, 852, 77
20,39, 36, 639, 852, 42
19,34, 33, 511, 639, 0
20,32, 31, 91, 852, 134
21,28, 49, 511, 852, 365
21,25, 25, 852, 639, 213
19,22, 23, 0, 319, 150
19,22, 21, 639, 0, 196
23,21, 21, 852, 1278, 1278
21,23, 21, 639, 511, 852
22,26, 20, 639, 852, 1278
23,58, 20, 1278, 852, 1278
22,56, 20, 852, 1278, 426
22,92, 20, 511, 284, 1278
23,130, 21, 1278, 1278, 71
18,91, 20, 0, 15, 134
21,97, 19, 511, 319, 511
21,123, 63, 1278, 0, 365
20,135, 100, 852, 0, 51
20,125, 16, 852, 116, 5
20,87, 18, 1278, 639, 7
19,76, 67, 1278, 0, 11
21,158, 97, 852, 365, 12
20,154, 126, 511, 8, 11
19,76, 60, 2557, 9, 10
19,114, 58, 91, 12, 10
18,95, 57, 852, 12, 9
19,112, 56, 852, 10, 0
20,155, 54, 106, 9, 852
20,158, 49, 852, 8, 159
20,157, 54, 852, 16, 33
19,157, 57, 0, 426, 44
21,151, 57, 365, 639, 35
22,141, 61, 426, 170, 150
18,64, 58, 0, 852, 85
22,128, 58, 1278, 511, 34
21,64, 58, 1278, 53, 127
21,141, 60, 511, 365, 41
21,147, 60, 511, 852, 31
21,156, 67, 639, 639, 37
19,92, 59, 426, 91, 27
21,127, 66, 511, 852, 29
21,101, 110, 365, 16, 24
22,155, 100, 511, 365, 27
19,150, 82, 0, 196, 30
19,156, 58, 0, 170, 36
20,154, 60, 1278, 0, 36
20,77, 54, 1278, 182, 0
20,85, 51, 852, 2557, 0
19,93, 47, 511, 0, 511
21,70, 44, 426, 852, 852
22,83, 40, 852, 852, 2557
22,121, 38, 852, 852, 426
20,56, 37, 77, 365, 852
22,57, 41, 1278, 852, 852
18,60, 38, 0, 1278, 0
20,55, 39, 94, 639, 426
20,60, 39, 0, 639, 1278
23,53, 43, 1278, 2557, 142
19,52, 40, 0, 511, 639
22,49, 35, 852, 1278, 852
23,45, 34, 639, 2557, 2557
19,45, 34, 0, 852, 852
22,44, 34, 852, 1278, 852
20,44, 36, 365, 639, 79
19,38, 34, 0, 284, 196
21,45, 35, 852, 511, 639
20,46, 35, 1278, 0, 852
20,39, 42, 1278, 852, 0
22,38, 35, 852, 852, 1278
23,38, 36, 852, 1278, 1278
20,39, 40, 1278, 0, 511
22,44, 34, 1278, 639, 852
19,42, 34, 852, 639, 0
20,40, 34, 2557, 0, 511
19,42, 34, 0, 511, 639
19,45, 34, 0, 365, 852
20,38, 33, 1278, 0, 365
19,38, 33, 852, 852, 0
20,39, 33, 2557, 852, 0
19,40, 34, 852, 0, 170
22,38, 35, 511, 852, 2557
23,45, 85, 639, 1278, 1278
20,51, 42, 1278, 0, 511
21,66, 51, 365, 639, 284
21,203, 67, 852, 639, 17
21,137, 80, 1278, 18, 21
21,104, 134, 82, 39, 639
23,79, 61, 1278, 1278, 511
20,121, 82, 63, 1278, 0
23,129, 100, 21, 852, 1278
21,75, 122, 44, 319, 852
19,70, 106, 17, 213, 0
20,56, 78, 35, 2557, 11
17,47, 52, 159, 4, 7
17,38, 54, 19, 4, 67
17,32, 55, 42, 4, 52
18,29, 55, 852, 4, 33
18,28, 56, 127, 0, 35
18,28, 55, 77, 15, 35
18,29, 53, 31, 91, 31
18,28, 55, 41, 71, 35
19,29, 56, 45, 159, 33
18,29, 52, 40, 44, 33
19,28, 53, 40, 852, 33
18,29, 56, 49, 11, 28
18,28, 57, 39, 88, 34
20,28, 55, 40, 2557, 30
19,28, 56, 39, 319, 34
